,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
ACT_r4,0.08043373855097061,0.0242290989694514,-0.05704476251476146,0.07123295269481265,0.01779706528146394,0.1432189930700164,0.042718966731407695,0.015350690681265388,0.07847748729552864,0.04760339819891895
ACT_GPT-4t,0.0335837565860105,0.059110157641264295,-0.07724768031934312,0.09409875023304837,-0.009417235282343615,0.21158571377326021,0.09617656442251933,0.011766582971321394,0.2354327073116505,0.12027366268877922
ARO_GPT-4t,0.12248953125000958,-0.11055348468460154,-0.025559019405475166,-0.029562978714642817,0.023988115674392622,-0.026850498305191692,0.03027616782183781,0.07161443966969837,0.055232900788890565,0.029268384993792064
AUD_GPT-4t,0.05586775445520404,-0.036645713881296664,0.21029130222379952,0.04056825330551747,-0.04166227011903859,0.013761316444048433,-0.07192227111859219,0.1014342811734943,0.05425438881175959,-0.0959977386344216
BIZ_GPT-4t,0.12798995985490905,-0.03619385552486514,-0.038089361649702835,-0.00809326892929036,-0.020003791217165195,-0.10153787836225733,-0.019831454866462164,0.008732256735471598,0.0249491626433071,0.2622821329310486
BOD_GPT-4t,0.05216879446753139,-0.02932129692643746,-0.02296260757309822,0.1372264284485162,0.256584760460119,-0.09244339540607273,-0.061352157522277274,-0.1571941504759256,0.08299774517365674,-0.04329534890507867
INC_GPT-4t,-0.00773581323848599,-0.04561658234642494,-0.0349238918570101,0.2677220380760044,-0.1704778101788475,-0.062103376633538696,-0.10879300563017966,0.009707801421533373,-0.02261576409730811,-0.022961633575708924
LIM_GPT-4t,0.12422510996714607,-0.10413077331204708,-0.04222977327626618,-0.07432750566151936,-0.0329177096082214,0.005807631757487685,-0.02799738596032144,-0.009719144464793758,-0.023781678593030268,-0.0054691623134809405
MEC_GPT-4t,0.10375815395062256,-0.07621911788901364,0.02759283455985701,0.04208325244918385,-0.059788040526712084,-0.06000980965243621,0.22016239111834254,-0.0051310678860620705,0.012608061589166547,0.005239586377912155
MOV_GPT-4t,0.09037455940045247,0.07026914495096187,-0.10342501360954066,-0.00278332747418482,0.00022162339749312566,0.16522172222901965,-0.10714474828321587,0.0405242972474156,-0.017996394499710383,0.0044835659691212235
SET_GPT-4t,0.12774496692551868,0.05946592166143367,-0.000531876489191124,-0.02484571294233734,-0.07340133532072081,0.0243560381468477,-0.04408946138738268,-0.12795314552475504,-0.15386474355137283,-0.003295247556072219
SOC_GPT-4t,0.07569410485133753,0.0036098922922827934,0.20525823265772528,-0.012125706136619344,0.06664466372502438,0.0697132556313033,-0.07578844663585182,0.023114846045755512,-0.010649886154455454,0.002646647008509323
SPA_GPT-4t,0.12079119218445851,0.09498625643917034,-0.014034850626054994,-0.033450301112811984,-0.07209292874313979,-0.07091204458493303,0.03184903218149754,0.0035329166275601537,-0.01854257021235482,-0.1307713385779023
TAC_GPT-4t,0.07146884103054126,0.07495377844282972,-0.05928948315640563,0.08631669743047879,0.16135778528676503,-0.015733860717399142,0.03471743764702556,0.19155381563138885,-0.15929046147676998,-0.028357737038800564
TIM_GPT-4t,0.12788796339656625,0.022074802988076566,0.059420333638265356,0.019331609091564422,-0.009729945056510621,0.036601212918140814,0.04504309984316213,-0.10796830539832672,-0.015873781741716775,-0.03169313826562476
VAL_GPT-4t,-0.039046907804359356,0.21619825758395791,0.08389693625205594,0.07914576701428393,-0.0035408185271886,-0.03218685810203617,0.12187340976725414,-0.036205646289780576,-0.06003258257091424,-0.023355206450429603
VIS_GPT-4t,0.08823247454036874,0.1401782639098085,-0.03712410754314098,-0.037357408444219795,-0.03504861268102457,-0.11787980855741723,-0.0010298152128945888,0.10928593758761829,0.20920233046375525,-0.04878114804906302
ACT_GPT-4,0.04487965107868639,0.06321786509838122,-0.04917054132559273,0.12037916888091646,-0.007042200273353262,0.22607023937834403,0.08635801652617771,-0.028032591444623327,0.20113408542133826,0.10008958972865518
ARO_GPT-4,0.11948718137342682,-0.14252212165665176,-0.036023437797193476,-0.041817384422606386,0.02620792150927648,-0.006823488936254058,0.026565559261030824,0.08692367769052017,0.04016494554955776,-0.024876077535153387
